number,company_name,market_cap,cap_percentage,sector,revenue_growth,net_income
369,"CenterPoint Energy, Inc.",21140000000,0.04,Utilities,-7.18,963000000
370,"Cboe Global Markets, Inc.",21110000000,0.04,Financial Services,3.84,776200000
371,Biogen Inc.,20940000000,0.04,Healthcare,-3.86,1620000000
372,"Citizens Financial Group, Inc.",20860000000,0.04,Financial Services,-5.51,1370000000
373,Eversource Energy,20600000000,0.04,Utilities,-5.08,-549350000
374,Labcorp Holdings Inc.,20430000000,0.04,Healthcare,5.43,435500000
375,International Paper Company,20360000000,0.04,Consumer Discretionary,-4.15,420000000
376,"McCormick & Company, Incorporated",20060000000,0.03,Consumer Staples,0.92,788500000
377,"Tyson Foods, Inc.",19970000000,0.03,Consumer Staples,0.81,800000000
378,The Clorox Company,19910000000,0.03,Consumer Staples,6.17,357000000
379,"Leidos Holdings, Inc.",19870000000,0.03,Technology,7.4,1200000000
380,"VeriSign, Inc.",19860000000,0.03,Technology,4.08,858900000
381,Erie Indemnity Company,19750000000,0.03,Financial Services,17.03,559210000
382,CMS Energy Corporation,19680000000,0.03,Utilities,-4.03,1040000000
383,"Super Micro Computer, Inc.",19560000000,0.03,Technology,109.77,1210000000
384,Insulet Corporation,19440000000,0.03,Healthcare,27.42,420900000
385,"Ulta Beauty, Inc.",19410000000,0.03,Consumer Discretionary,4.44,1200000000
386,"Builders FirstSource, Inc.",19350000000,0.03,Industrials,-3.31,1240000000
387,KeyCorp,19330000000,0.03,Financial Services,-28.08,-304000000
388,Southwest Airlines Co.,19150000000,0.03,Industrials,7.61,-48000000
389,"The Cooper Companies, Inc.",19100000000,0.03,Healthcare,8.41,392300000
390,Trimble Inc.,19050000000,0.03,Technology,-2.43,1480000000
391,Invitation Homes Inc.,18760000000,0.03,Real Estate,7.65,439590000
392,"Principal Financial Group, Inc.",18730000000,0.03,Financial Services,-0.42,-206100000
393,Jabil Inc.,18700000000,0.03,Technology,-17.83,1290000000
394,"First Solar, Inc.",18640000000,0.03,Technology,21.77,1250000000
395,"Steel Dynamics, Inc.",18630000000,0.03,Materials,-6.68,1540000000
396,"Essex Property Trust, Inc.",18490000000,0.03,Real Estate,3.18,549460000
397,Snap-on Incorporated,18410000000,0.03,Industrials,0.88,1040000000
398,"Best Buy Co., Inc.",18310000000,0.03,Consumer Discretionary,-3.02,1270000000
399,Loews Corporation,18280000000,0.03,Financial Services,11.57,1670000000
400,FactSet Research Systems Inc.,17660000000,0.03,Financial Services,5.02,538590000
401,"Mid-America Apartment Communities, Inc.",17620000000,0.03,Real Estate,2.31,517460000
402,Jacobs Solutions Inc.,17560000000,0.03,Industrials,5.99,795820000
403,"Alexandria Real Estate Equities, Inc.",17550000000,0.03,Real Estate,10.21,282550000
404,NiSource Inc.,17550000000,0.03,Utilities,-8.62,740800000
405,"Align Technology, Inc.",17540000000,0.03,Healthcare,4.03,441570000
406,"Molina Healthcare, Inc.",17520000000,0.03,Healthcare,15.51,1140000000
407,Pentair plc,17240000000,0.03,Industrials,-0.69,667000000
408,Masco Corporation,17140000000,0.03,Industrials,-1.57,831000000
409,"J.B. Hunt Transport Services, Inc.",17120000000,0.03,Industrials,-5.79,570890000
410,Quest Diagnostics Incorporated,16950000000,0.03,Healthcare,2.6,838000000
411,Hormel Foods Corporation,16940000000,0.03,Consumer Staples,-1.56,805040000
412,Gen Digital Inc.,16940000000,0.03,Technology,2.44,624000000
413,Omnicom Group Inc.,16920000000,0.03,Communication Services,6.4,1460000000
414,"Tapestry, Inc.",16870000000,0.03,Consumer Discretionary,-0.03,807600000
415,IDEX Corporation,16810000000,0.03,Industrials,-3.06,490400000
416,"CF Industries Holdings, Inc.",16570000000,0.03,Materials,-21.97,1160000000
417,Baxter International Inc.,16570000000,0.03,Healthcare,32.37,108000000
418,News Corporation,16480000000,0.03,Communication Services,2.66,355000000
419,Ball Corporation,16470000000,0.03,Consumer Discretionary,8.48,4190000000
420,Genuine Parts Company,16450000000,0.03,Consumer Discretionary,1.19,1090000000
421,"Moderna, Inc.",16310000000,0.03,Healthcare,-44.29,-2220000000
422,"Expeditors International of Washington, Inc.",16000000000,0.03,Industrials,-5.16,732910000
423,"F5, Inc.",16000000000,0.03,Technology,0.1,566780000
424,"Hologic, Inc.",15960000000,0.03,Healthcare,0,789500000
425,Ralph Lauren Corporation,15930000000,0.03,Consumer Discretionary,3.65,683800000
426,News Corporation,15820000000,0.03,Communication Services,2.66,355000000
427,Dollar General Corporation,15690000000,0.03,Consumer Staples,2.9,1340000000
428,Brown-Forman Corporation,15670000000,0.03,Consumer Staples,-4.52,1000000000
429,"Everest Group, Ltd.",15610000000,0.03,Financial Services,16.15,2740000000
430,Avery Dennison Corporation,15540000000,0.03,Consumer Discretionary,4.84,674000000
431,"Domino''s Pizza, Inc.",15460000000,0.03,Consumer Discretionary,4.41,572020000
432,Kimco Realty Corporation,15320000000,0.03,Real Estate,10.81,354140000
433,"Dollar Tree, Inc.",15300000000,0.03,Consumer Staples,5.17,-1040000000
434,Alliant Energy Corporation,15060000000,0.03,Utilities,-3.83,661000000
435,"UDR, Inc.",15030000000,0.03,Real Estate,0.06,122760000
436,Aptiv PLC,15020000000,0.03,Consumer Discretionary,-0.24,2420000000
437,"Revvity, Inc.",14970000000,0.03,Healthcare,-2.66,254300000
438,"Skyworks Solutions, Inc.",14800000000,0.03,Technology,-12.45,596000000
439,"Healthpeak Properties, Inc.",14730000000,0.03,Real Estate,18.79,308770000
440,Textron Inc.,14510000000,0.03,Industrials,0.14,824000000
441,"Evergy, Inc.",14500000000,0.03,Utilities,3.18,853300000
442,"Akamai Technologies, Inc.",14410000000,0.03,Technology,5.92,526180000
443,Amcor plc,14070000000,0.02,Consumer Discretionary,-6.07,766000000
444,Incyte Corporation,13970000000,0.02,Healthcare,12.94,32480000
445,DaVita Inc.,13930000000,0.02,Healthcare,6.34,827680000
446,"EPAM Systems, Inc.",13910000000,0.02,Technology,-2.68,448790000
447,Pool Corporation,13780000000,0.02,Industrials,-5.47,446120000
448,"Stanley Black & Decker, Inc.",13640000000,0.02,Industrials,-4.05,-205000000
449,Viatris Inc.,13300000000,0.02,Healthcare,-2.7,-883300000
450,Regency Centers Corporation,12940000000,0.02,Real Estate,13.47,390030000
451,"Juniper Networks, Inc.",12900000000,0.02,Technology,-10.87,250200000
452,Solventum Corporation,12710000000,0.02,Healthcare,0.6,720000000
453,"Jack Henry & Associates, Inc.",12700000000,0.02,Technology,5.91,399330000
454,"BXP, Inc.",12670000000,0.02,Real Estate,4.47,363050000
455,"C.H. Robinson Worldwide, Inc.",12650000000,0.02,Industrials,-3.68,347360000
456,"CarMax, Inc.",12610000000,0.02,Consumer Discretionary,-1.6,460960000
457,Nordson Corporation,12530000000,0.02,Industrials,2.33,467280000
458,"Universal Health Services, Inc.",12530000000,0.02,Healthcare,9.93,1030000000
459,Bio-Techne Corporation,12220000000,0.02,Healthcare,2.41,150680000
460,"Host Hotels & Resorts, Inc.",12180000000,0.02,Real Estate,6.31,721000000
461,"Conagra Brands, Inc.",12100000000,0.02,Consumer Staples,-2,492600000
462,Camden Property Trust,11910000000,0.02,Real Estate,1.45,344380000
463,Norwegian Cruise Line Holdings Ltd.,11620000000,0.02,Consumer Discretionary,15.76,549240000
464,Allegion plc,11580000000,0.02,Industrials,3.02,572000000
465,The Campbell's Company,11500000000,0.02,Consumer Staples,6.34,551000000
466,"Paycom Software, Inc.",11470000000,0.02,Technology,11.92,470190000
467,Molson Coors Beverage Company,11130000000,0.02,Consumer Staples,1.23,937900000
468,Dayforce Inc.,11040000000,0.02,Technology,16.85,52900000
469,Bunge Global SA,10980000000,0.02,Consumer Staples,-11.04,1150000000
470,The J. M. Smucker Company,10910000000,0.02,Consumer Staples,7.76,526000000
471,Eastman Chemical Company,10790000000,0.02,Materials,-0.34,885000000
472,"Assurant, Inc.",10640000000,0.02,Financial Services,8.84,741400000
473,Albemarle Corporation,10560000000,0.02,Materials,-34.2,-1970000000
474,"The Interpublic Group of Companies, Inc.",10530000000,0.02,Communication Services,-0.28,808200000
475,"Franklin Resources, Inc.",10470000000,0.02,Financial Services,8.01,432200000
476,A. O. Smith Corporation,10330000000,0.02,Industrials,2.45,561200000
477,"Walgreens Boots Alliance, Inc.",10150000000,0.02,Healthcare,5.62,-8830000000
478,LKQ Corporation,10040000000,0.02,Consumer Discretionary,8.48,711000000
479,Globe Life Inc.,9940000000,0.02,Financial Services,6.72,1090000000
480,MGM Resorts International,9860000000,0.02,Consumer Discretionary,12.31,903350000
481,Pinnacle West Capital Corporation,9710000000,0.02,Utilities,6.52,615610000
482,"Henry Schein, Inc.",9320000000,0.02,Healthcare,-1.53,314000000
483,Generac Holdings Inc.,9300000000,0.02,Industrials,2.91,292370000
484,"Wynn Resorts, Limited",9260000000,0.02,Consumer Discretionary,25.16,953260000
485,The Mosaic Company,9150000000,0.02,Materials,-23.77,371200000
486,Federal Realty Investment Trust,8990000000,0.02,Real Estate,5.41,284440000
487,APA Corporation,8700000000,0.02,Energy,6.11,2220000000
488,"Enphase Energy, Inc.",8690000000,0.02,Technology,-53.91,61420000
489,"Lamb Weston Holdings, Inc.",8630000000,0.02,Consumer Staples,-0.33,367000000
490,"Charles River Laboratories International, Inc.",8530000000,0.01,Healthcare,-3.67,413080000
491,MarketAxess Holdings Inc.,8520000000,0.01,Financial Services,10.74,811940000
492,Teleflex Incorporated,8390000000,0.01,Healthcare,2.27,237440000
493,"Match Group, Inc.",8350000000,0.01,Communication Services,6.12,622640000
494,"Mohawk Industries, Inc.",8260000000,0.01,Consumer Discretionary,-3.23,563980000
495,The AES Corporation,8200000000,0.01,Utilities,-3.73,1030000000
496,Celanese Corporation,8060000000,0.01,Materials,-2.24,1090000000
497,"Hasbro, Inc.",8030000000,0.01,Consumer Discretionary,-19.84,-641200000
498,"Huntington Ingalls Industries, Inc.",7990000000,0.01,Industrials,5.58,701000000
499,Invesco Ltd.,7900000000,0.01,Financial Services,2.45,-413600000
500,"Caesars Entertainment, Inc.",7260000000,0.01,Consumer Discretionary,-2.2,-361000000
501,Paramount Global,7250000000,0.01,Communication Services,-4.24,-5480000000
502,BorgWarner Inc.,7050000000,0.01,Consumer Discretionary,1.26,897000000
503,FMC Corporation,6950000000,0.01,Materials,-16.02,1450000000
